Include,AssetClass,InstrumentName,Symbol,BlockSize,FX,MarginRequirement,ExpMonths,TradedContract,YearLimit,Exchange,PriceSource
Y,Agriculture,Corn,C,50,USD,1562.5,HKNUZ,2,,CME,Quandl
Y,Agriculture,Corn mini,YC,10,USD,350,HKNUZ,2,2014,CME,Quandl
Y,Energy,Crude Oil emini,QM,500,USD,2120,MZ,2,2014,CME,Quandl
Y,Metals,Gold emicro,MGC,10,USD,675,GJMQVZ,2,2014,CME,Quandl
Y,Energy,Natural Gas,NG,10000,USD,2268.75,FGHJKMNQUVXZ,2,,CME,Quandl
Y,Energy,Natural Gas emini,QG,2500,USD,692.55,FGHJKMNQUVXZ,2,2014,CME,Quandl
Y,Metals,Plat,PL,50,USD,3000,FJNV,2,,CME,Quandl
Y,Agriculture,Soybean Mini,YK,10,USD,775,FHKNQUX,2,2014,CME,Quandl
Y,Equities,Dow Jones emini,YM,5,USD,4437.5,HMUZ,2,,CME,Quandl
Y,Equities,EUROSTX,FESX,10,EUR,3169.65,HMUZ,2,,EUREX,Quandl
Y,Equities,NASDAQ 100 emini,NQ,20,USD,4500,HMUZ,2,,CME,Quandl
Y,Equities,S&P500 emini,ES,50,USD,5250,HMUZ,2,,CME,Quandl
N,FX,Euro FX emini,E7,62500,USD,3462.5,MU,2,2014,CME,Quandl
N,FX,Japanese Yen emini,J7,6250000,USD,2562.5,MU,2,2014,CME,Quandl
Y,FX,Mexican Peso,MP,0.5,USD,1937.5,HMUZ,2,,CME,Quandl
Y,Rates,10-Year UST,TY,1000,USD,1562,HMUZ,2,,CME,Quandl
Y,Rates,Eurodollar,ED,2500,USD,437.5,HMUZ,12,,CME,Quandl
N,Rates,KR3,3KTB,1000000,KRW,5018.75,HMUZ,2,2015,KSE,csv
Y,Volatility,V2TX,FVS,100,EUR,5018.75,FGHJKMNQUVXZ,2,2014,EUREX,Quandl
Y,Volatility,VIX,VX,1000,USD,5018.75,FGHJKMNQUVXZ,2,2007,CBOE,Quandl
